int,point_id,geometry_id,url,type,is_hourly,updated,units,forecast_generator,generated_at,update_time,valid_times,valid_times_begin,valid_times_end,elevation_unit_code,elevation
1,1,831,"https://api.weather.gov/gridpoints/PUB/33,107/forecast",Feature,0,2022-04-20 20:44:44,us,BaselineForecastGenerator,2022-04-20 23:19:02,2022-04-20 20:44:44,2022-04-20T20:00:00+00:00/P7DT5H,2022-04-20 23:00:00,2022-04-27 18:00:00,wmoUnit:m,4042.8672
2,1,832,"https://api.weather.gov/gridpoints/PUB/33,107/forecast/hourly",Feature,1,2022-04-20 20:44:44,us,HourlyForecastGenerator,2022-04-20 23:35:53,2022-04-20 20:44:44,2022-04-20T20:00:00+00:00/P7DT5H,2022-04-20 23:00:00,2022-04-27 11:00:00,wmoUnit:m,4042.8672
